APURCH,unique,age,gendf,gendm,pcode,atmcrd,paydep,BALCHQ,BALSAV,TOTDEP,BALLOAN,BALLOC,BALMRGG,NEWLOC,NEWMRGG,TXBRAN,TXATM,TXPOS,TXCHQ,TXWEB,TXTEL,TOTSERV,CH_NM_SERV,CH_NM_PRD,valsegm,N_IND_INC_,numrr_1,numcon_1,avginc_1,avginv_1
N,19742,56,1,0,V3A3J3,1,0,0,0,50,,4758.8625,179910.4317,0,0,0.75,0,0,0,0,0,5,0,0,A,600,240,1200,35151.66667,4087.5
N,19790,32,1,0,V5A1H9,1,1,1276.801667,1302.895,2656.389167,,0,,0,0,0.166666667,6,85.66666667,3.416666667,13.91666667,0,4,0,1,D,730,360,1690,32078.08219,3205.084746
N,19803,34,0,1,V5E3G7,1,0,82.44583333,3.278333333,142.9416667,,396.475,,0,0,0.083333333,2.25,5.5,1,0,0,4,0,0,D,730,,,21506.84931,2787.096774
N,19817,31,1,0,V5N2N4,1,1,3012.330833,233.9008333,3391.554167,,0,189246.5525,0,0,0.5,1.75,5.666666667,1.333333333,2.666666667,0,5,0,0,D,1000,410,1689,24348,2096.875
Y,19833,55,0,1,V3S7M7,1,0,77.2725,89.45083333,292.0833333,,3763.906667,151472.29,0,0,10,7.75,8.75,0.5,0,0,5,0,0,D,38210,14860,68798,34921.48652,3671.284352
N,19835,39,0,1,V3A2G2,1,0,0,409.2475,561.6425,,7156.0075,196960.9108,0,0,0.333333333,4.833333333,0,1,0,0,5,0,0,C,600,240,948,32965,2266.666667
Y,19840,59,0,1,V5K2E1,1,1,2934.71,376.96,3421.895,,0,,0,0,3.416666667,5.5,8.083333333,7.083333333,3.416666667,0,4,0,1,D,580,240,877,25077.58621,1863.636364
Y,19851,40,0,1,V7R4R6,1,0,1476.391667,0,1572.104167,11665.83083,815.6591667,,0,0,0.75,8.583333333,11.08333333,10.33333333,0,0,5,0,0,D,660,310,2256,52074.24242,5576.744186
N,19859,34,1,0,V6Y1Z1,1,1,2.6625,17.20666667,86.24833333,3372.945,375.7075,,0,0,0.25,17.83333333,21.41666667,0.5,0,0,5,0,0,D,670,260,1208,26731.34328,6125.316456
Y,19905,25,0,1,V2T4B4,1,0,0,0,5.6525,,9827.770833,,0,0,1.083333333,0,0,0,0,0,4,0,0,D,830,200,598,21683.13253,2236
N,19935,46,0,1,V3T2Z8,1,1,149.48,0,227.68,,749.7583333,179880.9675,0,0,5.25,4.5,1.083333333,0.333333333,1.333333333,0,5,0,0,C,570,220,818,22863.1579,2033.333333
Y,19952,53,0,1,V3M5J6,0,1,3972.120833,1563.509167,7615.515,,372.965,,0,0,4.083333333,0,0,2.083333333,0,0,5,0,-2,D,290,100,347,22944.82759,1555.555556
Y,19960,29,1,0,V2P5S4,1,1,733.93,868.4341667,1660.571667,8086.353333,0,,0,0,1.083333333,13.08333333,63.16666667,7.416666667,8.75,0,5,0,0,C,570,180,564,25445.61404,2792.857143
Y,20004,28,0,1,V4X2J8,1,1,3933.305833,3079.581667,10409.81583,,0,96737.7875,0,0,2.583333333,5.666666667,7.916666667,1.5,3.666666667,0,5.7,1,1,B,4770,1600,8034,30257.86164,6229.646018
Y,20081,40,0,1,V6P3C3,1,1,22.78333333,3092.868333,50692.16167,,7396.185714,,1,0,6.583333333,0.333333333,0,0,0,0,4.7,1,2,D,800,280,1183,28825,5356.521739
Y,20100,46,0,1,V5N1V8,1,0,1777.081667,306.0775,2139.234167,7531.562727,59.018,,1,0,8.5,17.33333333,15.58333333,1.166666667,0,0,5,0,2,D,940,310,1093,22427.65957,1968.965517
N,20145,42,1,0,V6N2Y9,1,0,12019.66417,1714.843333,13832.175,54420.805,373.2833333,,0,0,6.583333333,3.833333333,0.75,4.5,1.083333333,0,4.4,1,1,D,550,250,1995,63105.45455,9336
